patient_id	Df	Ssq	Msq	F	P
mix_2_38	5	15.9969	3.1994	274.5109	0
mix_3_48	4	24.7367	6.1842	552.03	0
mix_3_49	5	23.5675	4.7135	346.9431	0
mix_3_65	5	22.6868	4.5374	371.7976	0
mix_3_92	5	19.8283	3.9657	248.4182	0
mix_4_25	4	26.379	6.5947	390.4726	0
mix_4_30	5	27.1003	5.4201	394.1381	0
mix_4_56	5	28.0348	5.607	386.4789	0
mix_5_20	4	30.0826	7.5207	465.0106	0
mix_5_36	5	29.4477	5.8895	366.8997	0
mix_5_42	5	32.1145	6.4229	403.453	0
mix_5_46	5	29.9075	5.9815	362.1207	0
mix_5_55	4	29.4946	7.3736	387.1051	0
mix_5_95	4	32.1319	8.033	548.7686	0
mix_5_96	5	29.816	5.9632	330.6373	0
mix_6_29	5	29.5769	5.9154	280.8221	0
mix_6_40	4	30.2432	7.5608	388.6754	0
mix_6_58	4	29.1154	7.2788	335.9895	0
mix_6_82	5	31.6979	6.3396	345.067	0
mix_8_33	7	20.8409	2.9773	106.7446	0
mix_8_46	4	22.1542	5.5385	195.5733	0
mix_8_63	3	22.4365	7.4788	272.7591	0
mix_9_93	5	12.4885	2.4977	82.4547	0
