patient_id	Df	Ssq	Msq	F	P
mix_1_10	5	0.2513	0.0503	8.2344	0
mix_1_1	5	0.284	0.0568	8.6779	0
mix_1_2	5	0.2681	0.0536	8.4186	0
mix_1_3	4	0.3148	0.0787	8.549	0
mix_1_4	4	0.2979	0.0745	11.3548	0
mix_1_5	5	0.2727	0.0545	8.2435	0
mix_1_6	5	0.2884	0.0577	9.1673	0
mix_1_7	4	0.2803	0.0701	11.418	0
mix_1_8	5	0.3131	0.0626	9.3001	0
mix_1_9	5	0.2088	0.0418	6.6698	0
mix_2_10	5	9.2283	1.8457	265.7276	0
mix_2_1	5	0.236	0.0472	6.4678	0
mix_2_2	4	0.22	0.055	8.7784	0
mix_2_3	4	0.2403	0.0601	8.2963	0
mix_2_4	4	0.1914	0.0479	8.4234	0
mix_2_5	5	5.3285	1.0657	157.3257	0
mix_2_6	4	0.277	0.0693	8.729	0
mix_2_7	5	14.5274	2.9055	421.4318	0
mix_2_8	5	15.2813	3.0563	250.0944	0
mix_2_9	4	0.2118	0.0529	7.597	0
mix_3_10	5	8.5651	1.713	252.3091	0
mix_3_1	3	0.1865	0.0622	10.0231	0
mix_3_2	4	0.159	0.0397	6.4494	1e-04
mix_3_3	5	3.5974	0.7195	89.5096	0
mix_3_4	3	0.16	0.0533	9.6117	0
mix_3_5	4	0.2172	0.0543	8.1626	0
mix_3_6	4	0.2664	0.0666	8.2786	0
mix_3_7	5	6.3167	1.2633	269.7914	0
mix_3_8	4	0.2946	0.0736	10.7484	0
mix_3_9	5	0.2707	0.0541	7.1868	0
mix_4_10	3	0.2078	0.0693	10.408	0
mix_4_1	3	0.15	0.05	6.6453	2e-04
mix_4_2	5	18.3624	3.6725	370.3538	0
mix_4_3	3	0.3669	0.1223	10.8063	0
mix_4_4	3	0.1325	0.0442	7.4917	1e-04
mix_4_5	4	14.8763	3.7191	472.6552	0
mix_4_6	5	0.2555	0.0511	5.829	0
mix_4_7	4	0.1084	0.0271	5.7659	2e-04
mix_4_8	3	0.2387	0.0796	11.1494	0
mix_4_9	5	20.0216	4.0043	227.0231	0
mix_5_10	4	11.4659	2.8665	496.8816	0
mix_5_1	4	7.1254	1.7813	197.9813	0
mix_5_2	4	23.8992	5.9748	438.5287	0
mix_5_3	5	19.599	3.9198	295.2439	0
mix_5_4	3	0.1485	0.0495	7.3235	1e-04
mix_5_5	4	20.1555	5.0389	370.4619	0
mix_5_6	4	0.1823	0.0456	6.1343	1e-04
mix_5_7	3	0.1052	0.0351	6.6291	3e-04
mix_5_8	4	29.0022	7.2505	444.3253	0
mix_5_9	4	24.1104	6.0276	279.3837	0
mix_6_10	3	11.1724	3.7241	578.7471	0
mix_6_1	3	12.1871	4.0624	509.5234	0
mix_6_2	5	26.1184	5.2237	286.8774	0
mix_6_3	4	24.9716	6.2429	316.8582	0
mix_6_4	3	0.1363	0.0454	8.8332	0
mix_6_5	3	0.1301	0.0434	8.3571	0
mix_6_6	3	15.4681	5.156	833.3036	0
mix_6_7	4	28.1101	7.0275	285.3528	0
mix_6_8	3	0.2059	0.0686	9.4929	0
mix_6_9	4	0.1253	0.0313	3.617	0.0074
mix_7_10	4	24.7241	6.181	202.2519	0
mix_7_1	3	13.0814	4.3605	628.0643	0
mix_7_2	3	12.1608	4.0536	455.21	0
mix_7_3	3	10.2059	3.402	351.3833	0
mix_7_4	5	25.3016	5.0603	185.924	0
mix_7_5	3	12.9908	4.3303	812.6022	0
mix_7_6	2	12.7362	6.3681	804.7805	0
mix_7_7	4	22.4837	5.6209	180.0987	0
mix_7_8	5	26.7825	5.3565	226.2816	0
mix_7_9	2	0.086	0.043	4.3693	0.0145
mix_8_10	4	19.067	4.7667	141.9541	0
mix_8_1	3	16.3281	5.4427	236.7141	0
mix_8_2	2	12.3094	6.1547	609.0533	0
mix_8_3	4	22.1065	5.5266	190.4095	0
mix_8_4	2	12.2164	6.1082	741.4934	0
mix_8_5	2	14.8719	7.436	738.8879	0
mix_8_6	2	14.8843	7.4421	1043.8621	0
mix_8_7	4	20.865	5.2163	168.3186	0
mix_8_8	3	14.8164	4.9388	306.0094	0
mix_8_9	3	19.4067	6.4689	182.6593	0
mix_9_10	4	11.8271	2.9568	71.8169	0
mix_9_1	4	13.5979	3.3995	98.0788	0
mix_9_2	5	13.3273	2.6655	74.5876	0
mix_9_3	5	14.0618	2.8124	89.6085	0
mix_9_4	5	12.5454	2.5091	76.5228	0
mix_9_5	6	14.2473	2.3746	68.4138	0
mix_9_6	5	13.0693	2.6139	72.4929	0
mix_9_7	4	12.0182	3.0046	85.4607	0
mix_9_8	4	12.9236	3.2309	87.2819	0
mix_9_9	4	12.1088	3.0272	78.9906	0
