Position	XHC133-SI-GA-G4
unstable_loci	7
passing_loci	80
msing_score	0.0875
msi status	NEG
chrX:156023386-156023497	
chrX:155482841-155482951	
chrX:155238917-155239030	
chrX:155122674-155122784	
chrX:155122076-155122189	
chrX:155114685-155114796	
chrX:155055573-155055691	
chrX:155055393-155055504	
chrX:154881914-154882028	
chrX:154473323-154473434	
chrX:154428297-154428408	
chrX:154411672-154411784	
chrX:154088356-154088467	
chrX:154021813-154021923	
chrX:153948506-153948617	
chrX:153948441-153948565	
chrX:153803211-153803329	
chrX:153688000-153688114	
chrX:153509011-153509156	
chrX:153351535-153351647	
chrX:152972401-152972511	
chrX:151407844-151407957	
chrX:150990499-150990614	
chrX:150988505-150988617	
chrX:150824497-150824609	
chrX:150764422-150764532	
chrX:150748604-150748714	
chrX:150638929-150639041	
chrX:149597170-149597282	
chrX:149482471-149482581	
chrX:147950032-147950142	
chrX:147949735-147949846	
chrX:147936436-147936548	
chrX:139720732-139720845	
chrX:136879378-136879491	
chrX:136869674-136869784	
chrX:136862476-136862589	
chrX:136841978-136842090	
chrX:136840639-136840749	
chrX:136727408-136727520	
chrX:136667854-136667970	
chrX:136667745-136667855	
chrX:136045894-136046005	
chrX:135998414-135998526	
chrX:135964744-135964854	
chrX:134991667-134991779	
chrX:134896302-134896415	
chrX:134470852-134470964	
chrX:134427440-134427550	
chrX:134424072-134424182	
chrX:134406060-134406171	
chrX:133541208-133541318	
chrX:133535976-133536089	
chrX:133300955-133301065	
chrX:132488849-132488959	
chrX:132432800-132432912	
chrX:132430076-132430186	
chrX:132377757-132377876	
chrX:132374263-132374375	
chrX:132208268-132208384	
chrX:132204930-132205049	
chrX:132074508-132074618	
chrX:132023273-132023383	
chrX:130834500-130834612	
chrX:130651925-130652045	
chrX:130624442-130624552	
chrX:130496708-130496828	
chrX:130065330-130065440	
chrX:130057602-130057713	
chrX:129522268-129522382	
chrX:124100833-124100948	
chrX:124100505-124100618	
chrX:123972226-123972338	
chrX:123912636-123912750	
chrX:123912298-123912411	
